Member,Sentiment,score
4: Mostly Hawkish,Fed Chairman,0.495
4: Mostly Hawkish,Fed Chairman,0.5528
4: Mostly Hawkish,Fed Chairman,0.5248
4: Mostly Hawkish,Fed Chairman,0.5261
4: Mostly Hawkish,Fed Chairman,0.594
4: Mostly Hawkish,Fed Chairman,0.5269
4: Mostly Hawkish,Fed Chairman,0.6898
5: Hawkish,Fed Chairman,0.5022
5: Hawkish,Fed Chairman,0.5101
4: Mostly Hawkish,Boston Fed,0.6016
4: Mostly Hawkish,Boston Fed,0.5716
5: Hawkish,Boston Fed,0.536
4: Mostly Hawkish,Boston Fed,0.6208
4: Mostly Hawkish,Boston Fed,0.5474
4: Mostly Hawkish,Boston Fed,0.5006
1: Dovish,Boston Fed,0.4811
2: Mostly Dovish,Boston Fed,0.4677
